sec_code,ticker,year,high,low,days,updated_at
7034,7034.T,2021,3940.0,964.0,245,2026-08-24
7034,7034.T,2022,1033.0,423.0,244,2026-08-24
7034,7034.T,2023,567.0,327.0,246,2026-08-24
7034,7034.T,2024,760.0,337.0,245,2026-08-24
7034,7034.T,2025,805.0,281.0,243,2026-08-24
7034,7034.T,2026,621.0,320.0,156,2026-08-24
7219,7219.T,2016,2043.15,1754.2,87,2026-08-24
7219,7219.T,2017,1859.78,1586.16,253,2026-08-24
7219,7219.T,2018,1832.76,1242.38,261,2026-08-24
7219,7219.T,2019,1806.71,1301.54,241,2026-08-24
7219,7219.T,2020,2286.81,890.88,242,2026-08-24
7219,7219.T,2021,2365.66,1447.43,245,2026-08-24
7219,7219.T,2022,1969.21,1558.87,244,2026-08-24
7219,7219.T,2023,2746.46,1648.79,246,2026-08-24
7219,7219.T,2024,2318.82,1814.53,245,2026-08-24
7219,7219.T,2025,2330.0,1793.74,243,2026-08-24
7219,7219.T,2026,2747.0,2155.0,156,2026-08-24
7264,7264.T,2016,1058.07,858.73,87,2026-08-24
7264,7264.T,2017,1692.62,986.51,253,2026-08-24
7264,7264.T,2018,1518.6,1034.04,261,2026-08-24
7264,7264.T,2019,1554.89,1049.17,241,2026-08-24
7264,7264.T,2020,1117.57,700.39,242,2026-08-24
7264,7264.T,2021,1161.48,881.21,245,2026-08-24
7264,7264.T,2022,1079.28,914.47,244,2026-08-24
7264,7264.T,2023,1369.57,919.43,246,2026-08-24
7264,7264.T,2024,1495.5,1090.12,245,2026-08-24
7264,7264.T,2025,1351.79,968.19,243,2026-08-24
7264,7264.T,2026,1435.61,1228.0,156,2026-08-24
7266,7266.T,2016,837.8,637.52,87,2026-08-24
7266,7266.T,2017,1206.18,716.46,253,2026-08-24
7266,7266.T,2018,1119.74,725.77,261,2026-08-24
7266,7266.T,2019,907.7,668.04,241,2026-08-24
7266,7266.T,2020,829.72,463.32,242,2026-08-24
7266,7266.T,2021,730.45,484.12,245,2026-08-24
7266,7266.T,2022,629.4,487.3,244,2026-08-24
7266,7266.T,2023,786.97,521.82,246,2026-08-24
7266,7266.T,2024,722.38,459.46,245,2026-08-24
7266,7266.T,2025,931.99,500.46,243,2026-08-24
7266,7266.T,2026,1061.76,815.0,156,2026-08-24
7297,7297.T,2016,429.92,369.17,87,2026-08-24
7297,7297.T,2017,1565.08,412.63,253,2026-08-24
7297,7297.T,2018,1318.21,500.89,261,2026-08-24
7297,7297.T,2019,877.87,511.89,241,2026-08-24
7297,7297.T,2020,975.23,606.09,242,2026-08-24
7297,7297.T,2021,1168.93,692.26,245,2026-08-24
7297,7297.T,2022,883.48,728.42,244,2026-08-24
7297,7297.T,2023,1223.35,746.84,246,2026-08-24
7297,7297.T,2024,910.61,746.95,245,2026-08-24
7297,7297.T,2025,886.39,783.4,243,2026-08-24
7297,7297.T,2026,969.03,833.0,156,2026-08-24
7347,7347.T,2021,685.4,458.94,124,2026-08-24
7347,7347.T,2022,610.99,345.07,244,2026-08-24
7347,7347.T,2023,806.42,510.92,246,2026-08-24
7347,7347.T,2024,1070.07,595.22,245,2026-08-24
7347,7347.T,2025,869.1,644.03,243,2026-08-24
7347,7347.T,2026,862.0,691.0,156,2026-08-24
7399,7399.T,2016,361.38,290.28,87,2026-08-24
7399,7399.T,2017,526.55,343.06,253,2026-08-24
7399,7399.T,2018,537.83,306.74,261,2026-08-24
7399,7399.T,2019,503.49,372.53,241,2026-08-24
7399,7399.T,2020,492.96,310.98,242,2026-08-24
7399,7399.T,2021,570.36,425.33,245,2026-08-24
7399,7399.T,2022,465.39,378.19,244,2026-08-24
7399,7399.T,2023,529.08,398.05,246,2026-08-24
7399,7399.T,2024,703.84,471.71,245,2026-08-24
7399,7399.T,2025,587.87,473.77,243,2026-08-24
7399,7399.T,2026,629.46,551.0,156,2026-08-24
7422,7422.T,2016,376.5,334.09,87,2026-08-24
7422,7422.T,2017,389.44,344.13,253,2026-08-24
7422,7422.T,2018,374.82,253.54,261,2026-08-24
7422,7422.T,2019,316.92,259.5,241,2026-08-24
7422,7422.T,2020,276.79,188.35,242,2026-08-24
7422,7422.T,2021,292.3,209.45,245,2026-08-24
7422,7422.T,2022,292.48,227.72,244,2026-08-24
7422,7422.T,2023,412.23,234.14,246,2026-08-24
7422,7422.T,2024,567.47,297.99,245,2026-08-24
7422,7422.T,2025,930.83,329.39,243,2026-08-24
7422,7422.T,2026,500.92,351.0,156,2026-08-24
7427,7427.T,2016,502.32,432.65,87,2026-08-24
7427,7427.T,2017,549.58,478.3,253,2026-08-24
7427,7427.T,2018,622.16,392.01,261,2026-08-24
7427,7427.T,2019,474.46,407.37,241,2026-08-24
7427,7427.T,2020,619.37,288.18,242,2026-08-24
7427,7427.T,2021,595.13,497.97,245,2026-08-24
7427,7427.T,2022,612.81,453.1,244,2026-08-24
7427,7427.T,2023,1533.58,581.4,246,2026-08-24
7427,7427.T,2024,1397.18,700.19,245,2026-08-24
7427,7427.T,2025,942.84,687.48,243,2026-08-24
7427,7427.T,2026,933.98,811.0,156,2026-08-24
7442,7442.T,2016,590.43,523.55,87,2026-08-24
7442,7442.T,2017,636.77,566.27,253,2026-08-24
7442,7442.T,2018,602.64,339.03,261,2026-08-24
7442,7442.T,2019,457.65,374.39,241,2026-08-24
7442,7442.T,2020,512.57,296.22,242,2026-08-24
7442,7442.T,2021,495.57,291.35,245,2026-08-24
7442,7442.T,2022,361.58,271.4,244,2026-08-24
7442,7442.T,2023,346.54,285.73,246,2026-08-24
7442,7442.T,2024,359.62,310.41,245,2026-08-24
7442,7442.T,2025,435.1,326.5,243,2026-08-24
7442,7442.T,2026,498.0,434.12,156,2026-08-24
7464,7464.T,2016,681.58,586.87,87,2026-08-24
7464,7464.T,2017,1236.76,662.97,253,2026-08-24
