sec_code,name,market,sector,alert_section,is_supervised,price,price_date,last_quote,traded_days_20,avg_turnover_20,avg_turnover_20_m,days_since_trade,window_days,as_of
7780,メニコン,プレミア市場,精密機器,,False,,,1867.0,0,0,0.0,,12,2026-09-04
7751,キヤノン,プレミア市場,電気機器,,False,,,4615.0,0,0,0.0,,12,2026-09-04
7747,アサヒインテック,プレミア市場,精密機器,,False,,,3521.0,0,0,0.0,,12,2026-09-04
7723,愛知時,プレミア市場,精密機器,,False,,,2867.0,0,0,0.0,,12,2026-09-04
7682,浜木綿,メイン市場,小売業,,False,,,3920.0,0,0,0.0,,12,2026-09-04
2169,ＣＤＳ,プレミア市場,サービス業,,False,,,1721.0,0,0,0.0,,12,2026-09-04
8225,タカチホ,メイン市場,卸売業,,False,,,3575.0,0,0,0.0,,12,2026-09-04
8160,木曽路,プレミア市場,小売業,,False,,,2479.0,0,0,0.0,,12,2026-09-04
8130,サンゲツ,プレミア市場,卸売業,,False,,,3180.0,0,0,0.0,,12,2026-09-04
8076,カノークス,メイン市場,卸売業,,False,,,2116.0,0,0,0.0,,12,2026-09-04
8031,三井物産,プレミア市場,卸売業,,False,,,5019.0,0,0,0.0,,12,2026-09-04
8015,豊田通商,プレミア市場,卸売業,,False,,,7588.0,0,0,0.0,,12,2026-09-04
7975,リヒトラブ,メイン市場,その他製品,,False,,,1168.0,0,0,0.0,,12,2026-09-04
7953,菊水化,メイン市場,その他製品,,False,,,400.0,0,0,0.0,,12,2026-09-04
7943,ニチハ,プレミア市場,ガラス・土石製品,,False,,,3040.0,0,0,0.0,,12,2026-09-04
8995,誠建設,メイン市場,不動産業,,False,,,1648.0,0,0,0.0,,12,2026-09-04
8920,東祥,プレミア市場,サービス業,,False,,,714.0,0,0,0.0,,12,2026-09-04
8891,ＡＭＧＨＤ,メイン市場,不動産業,,False,,,2085.0,0,0,0.0,,12,2026-09-04
8803,平和不,プレミア市場,不動産業,,False,,,2381.0,0,0,0.0,,12,2026-09-04
2207,ｍｅｉｔｏ,プレミア市場,食料品,,False,,,3450.0,0,0,0.0,,12,2026-09-04
2185,シイエム・シイ,プレミア市場,サービス業,,False,,,2000.0,0,0,0.0,,12,2026-09-04
8285,三谷産業,プレミア市場,卸売業,,False,,,788.0,0,0,0.0,,12,2026-09-04
3461,パルマ,メイン市場,不動産業,,False,,,626.0,0,0,0.0,,12,2026-09-04
3447,信和,プレミア市場,金属製品,,False,,,1009.0,0,0,0.0,,12,2026-09-04
3441,山王,メイン市場,金属製品,,False,,,2741.0,0,0,0.0,,12,2026-09-04
3439,三ツ知,メイン市場,金属製品,,False,,,674.0,0,0,0.0,,12,2026-09-04
3422,Ｊ－ＭＡＸ,メイン市場,金属製品,,False,,,617.0,0,0,0.0,,12,2026-09-04
3321,ミタチ,プレミア市場,卸売業,,False,,,1689.0,0,0,0.0,,12,2026-09-04
3320,クロスプラス,メイン市場,卸売業,,False,,,1319.0,0,0,0.0,,12,2026-09-04
3232,三重交通ＧＨＤ,プレミア市場,不動産業,,False,,,601.0,0,0,0.0,,12,2026-09-04
3221,ヨシックスＨＤ,プレミア市場,小売業,,False,,,3270.0,0,0,0.0,,12,2026-09-04
3205,ダイドー,プレミア市場,繊維製品,,False,,,736.0,0,0,0.0,,12,2026-09-04
3842,ネクストジェン,メイン市場,情報・通信業,,False,,,1052.0,0,0,0.0,,12,2026-09-04
3771,システムリサーチ,プレミア市場,情報・通信業,,False,,,1911.0,0,0,0.0,,12,2026-09-04
3577,東海染工,プレミア市場,繊維製品,,False,,,930.0,0,0,0.0,,12,2026-09-04
3571,ソトー,プレミア市場,繊維製品,,False,,,739.0,0,0,0.0,,12,2026-09-04
6267,ゼネパッカー,メイン市場,機 械,,False,,,4050.0,0,0,0.0,,12,2026-09-04
3556,リネットジャパン,メイン市場,小売業,,False,,,798.0,0,0,0.0,,12,2026-09-04
3549,クスリのアオキＨＤ,メイン市場,小売業,,False,,,4218.0,0,0,0.0,,12,2026-09-04
3543,コメダ,プレミア市場,卸売業,,False,,,2902.0,0,0,0.0,,12,2026-09-04
3524,日東網,プレミア市場,繊維製品,,False,,,1481.0,0,0,0.0,,12,2026-09-04
3494,マリオン,メイン市場,不動産業,,False,,,446.0,0,0,0.0,,12,2026-09-04
4361,川口化,メイン市場,化 学,,False,,,1613.0,0,0,0.0,,12,2026-09-04
4240,クラスターＴ,メイン市場,化 学,,False,,,317.0,0,0,0.0,,12,2026-09-04
4206,アイカ工,プレミア市場,化 学,,False,,,4088.0,0,0,0.0,,12,2026-09-04
4196,ネオマーケ,メイン市場,情報・通信業,,False,,,2157.0,0,0,0.0,,12,2026-09-04
4125,三和油化工業,メイン市場,化 学,,False,,,3705.0,0,0,0.0,,12,2026-09-04
4124,大阪油化工業,メイン市場,化 学,,False,,,2938.0,0,0,0.0,,12,2026-09-04
4072,電算システムＨＤ,プレミア市場,情報・通信業,,False,,,3120.0,0,0,0.0,,12,2026-09-04
3974,ＳＣＡＴ,メイン市場,情報・通信業,,False,,,665.0,0,0,0.0,,12,2026-09-04
3958,笹徳印刷,メイン市場,パルプ・紙,,False,,,553.0,0,0,0.0,,12,2026-09-04
3947,ダイナパック,メイン市場,パルプ・紙,,False,,,2475.0,0,0,0.0,,12,2026-09-04
3559,ピーバンドットコム,メイン市場,卸売業,,False,,,458.0,0,0,0.0,,12,2026-09-04
1780,ヤマウラ,プレミア市場,建設業,,False,,,1495.0,0,0,0.0,,12,2026-09-04
1801,大成建,プレミア市場,建設業,,False,,,12690.0,0,0,0.0,,12,2026-09-04
1803,清水建,プレミア市場,建設業,,False,,,2370.5,0,0,0.0,,12,2026-09-04
1811,銭高組,メイン市場,建設業,,False,,,7680.0,0,0,0.0,,12,2026-09-04
2351,ＡＳＪ,メイン市場,情報・通信業,,False,,,334.0,0,0,0.0,,12,2026-09-04
2329,東北新社,メイン市場,情報・通信業,,False,,,501.0,0,0,0.0,,12,2026-09-04
1893,五洋建,プレミア市場,建設業,,False,,,1445.5,0,0,0.0,,12,2026-09-04
9969,ショクブン,メイン市場,小売業,,False,,,234.0,0,0,0.0,,12,2026-09-04
8309,三井住友トラストＧ,プレミア市場,銀行業,,False,,,1801.0,0,0,0.0,,12,2026-09-04
2327,ＮＳＳＯＬ,メイン市場,情報・通信業,,False,,,3992.0,0,0,0.0,,12,2026-09-04
9428,クロップス,プレミア市場,情報・通信業,,False,,,1482.0,0,0,0.0,,12,2026-09-04
2224,コモ,メイン市場,食料品,,False,,,3695.0,0,0,0.0,,12,2026-09-04
2209,井村屋Ｇ,プレミア市場,食料品,,False,,,2419.0,0,0,0.0,,12,2026-09-04
9310,トランスシティ,プレミア市場,倉庫・運輸関連業,,False,,,1410.0,0,0,0.0,,12,2026-09-04
9306,東陽倉,プレミア市場,倉庫・運輸関連業,,False,,,2004.0,0,0,0.0,,12,2026-09-04
3469,デュアルタップ,メイン市場,不動産業,,False,,,893.0,0,0,0.0,,12,2026-09-04
9223,ＡＳＮＯＶＡ,ネクスト市場,サービス業,,False,,,435.0,0,0,0.0,,12,2026-09-04
9221,フルハシＥＰＯ,メイン市場,サービス業,,False,,,1205.0,0,0,0.0,,12,2026-09-04
9076,セイノーＨＤ,プレミア市場,陸運業,,False,,,2692.5,0,0,0.0,,12,2026-09-04
9073,京極運輸,メイン市場,陸運業,,False,,,1227.0,0,0,0.0,,12,2026-09-04
9048,名鉄,プレミア市場,陸運業,,False,,,1864.0,0,0,0.0,,12,2026-09-04
1870,矢作建,プレミア市場,建設業,,False,,,2137.0,0,0,0.0,,12,2026-09-04
9982,タキヒヨー,プレミア市場,卸売業,,False,,,2587.0,0,0,0.0,,12,2026-09-04
138A,光フードサービス,ネクスト市場,小売業,,False,,,3110.0,0,0,0.0,,12,2026-09-04
3091,ブロンコＢ,プレミア市場,小売業,,False,,,2849.0,0,0,0.0,,12,2026-09-04
3086,Ｊフロント,プレミア市場,小売業,,False,,,2767.5,0,0,0.0,,12,2026-09-04
3035,ケイティケイ,メイン市場,卸売業,,False,,,774.0,0,0,0.0,,12,2026-09-04
