sec_code,filer_name,current_assets,total_liabilities,total_assets,equity_value,equity_type,equity_ratio,doc_id,submit_date,doc_type,accounting_standard,consolidated,fiscal_period
4667,アイサンテクノロジー株式会社,5641651000,1660733000,315274000,5977619000,NetAssets,18.9601,S100YBI7,2026-06-30,120,J-GAAP,連結,2026-03-31
7133,ＨＹＵＧＡ　ＰＲＩＭＡＲＹ　ＣＡＲＥ株式会社,2659256000,6688000,2659256000,2382543000,NetAssets,0.8959,S100YI10,2026-06-25,120,J-GAAP,連結,2026-03-31
7875,竹田ｉＰホールディングス株式会社,3576000000,688000000,3576000000,11796000000,NetAssets,3.2987,S100YEOH,2026-06-19,120,J-GAAP,連結,2026-03-31
6663,太洋テクノレックス株式会社,2604667000,784061000,2604667000,2698410000,NetAssets,1.036,S100YT4O,2026-07-31,160,J-GAAP,個別,2026-12-20
4088,エア・ウォーター株式会社,122825000000,148803000000,122825000000,199220000000,NetAssets,1.622,S100YTII,2026-07-31,120,J-GAAP,連結,2026-03-31
2998,クリアル株式会社,48911718000,44719266000,48911718000,5100500000,NetAssets,0.1043,S100YIOE,2026-06-24,120,J-GAAP,連結,2026-03-31
9444,株式会社トーシンホールディングス,3332162000,7136768000,3332162000,927134000,NetAssets,0.2782,S100YTD8,2026-07-31,120,J-GAAP,連結,2026-04-30
6662,株式会社ユビテック,1668352000,181170000,196610000,1515008000,NetAssets,7.7057,S100XJIG,2026-02-06,160,J-GAAP,個別,2026-06-30
391A,株式会社山忠,5848307000,34103000,5848307000,4146778000,NetAssets,0.7091,S100YT4P,2026-07-30,120,J-GAAP,連結,2026-04-30
8030,中央魚類株式会社,17351000000,13618000000,17351000000,23562000000,NetAssets,1.358,S100YL2H,2026-06-25,120,J-GAAP,連結,2026-03-31
2678,アスクル株式会社,117986000000,90920000000,117986000000,75933000000,NetAssets,0.6436,S100YSYE,2026-07-30,120,J-GAAP,連結,2026-05-20
4934,プレミアアンチエイジング株式会社,8073000000,2997000000,8073000000,6610000000,NetAssets,0.8188,S100XQJB,2026-03-16,160,J-GAAP,個別,2026-07-31
3823,ＴＨＥ　ＷＨＹ　ＨＯＷ　ＤＯ　ＣＯＭＰＡＮＹ株式会社,918994000,111001000,918994000,1363430000,NetAssets,1.4836,S100YTBE,2026-07-30,120,J-GAAP,連結,2026-04-30
9627,株式会社アインホールディングス,26144000000,67590000000,26144000000,88137000000,NetAssets,3.3712,S100YSTQ,2026-07-29,120,J-GAAP,連結,2026-04-30
4552,ＪＣＲファーマ株式会社,50096000000,43854000000,50096000000,46553000000,NetAssets,0.9293,S100YF19,2026-06-23,120,J-GAAP,連結,2026-03-31
186A,株式会社アストロスケールホールディングス,13497606000,8927912000,13497606000,4103090000,NetAssets,0.304,S100YSZC,2026-07-29,120,J-GAAP,連結,2026-04-30
324A,株式会社ブッキングリゾート,1423517000,296908000,1423517000,1901057000,NetAssets,1.3355,S100YSTV,2026-07-29,120,J-GAAP,連結,2026-04-30
5079,株式会社ノバック,22671050000,7191686000,11677821000,18223942000,NetAssets,1.5606,S100YSTZ,2026-07-29,120,J-GAAP,連結,2026-04-30
3903,株式会社ｇｕｍｉ,8144330000,5046839000,8144330000,7838544000,NetAssets,0.9625,S100YSP4,2026-07-29,120,J-GAAP,連結,2026-04-30
7050,株式会社フロンティアインターナショナル,7076731000,2900816000,7076731000,6612047000,NetAssets,0.9343,S100YSV9,2026-07-29,120,J-GAAP,連結,2026-04-30
184A,株式会社学びエイド,151375000,5854000,151375000,135417000,NetAssets,0.8946,S100YSR5,2026-07-29,120,J-GAAP,連結,2026-04-30
3161,アゼアス株式会社,5337700000,1442000,5337700000,6111631000,NetAssets,1.145,S100YSKW,2026-07-29,120,J-GAAP,連結,2026-04-30
3361,株式会社トーエル,10512113000,4731941000,10512113000,18947163000,NetAssets,1.8024,S100YSDU,2026-07-28,120,J-GAAP,連結,2026-04-30
7604,株式会社　梅の花グループ,4781786000,25258000,4781786000,2473420000,NetAssets,0.5173,S100YSIF,2026-07-28,120,J-GAAP,連結,2026-04-30
3329,東和フードサービス株式会社,5271607000,6322000,5271607000,7171897000,NetAssets,1.3605,S100YSG1,2026-07-28,120,J-GAAP,連結,2026-04-30
2751,株式会社テンポスホールディングス,613000000,1113000000,613000000,7131000000,NetAssets,11.633,S100YS8T,2026-07-28,120,J-GAAP,連結,2026-04-30
6161,株式会社エスティック,6889985000,1083421000,6889985000,8825684000,NetAssets,1.2809,S100YCSO,2026-06-17,120,J-GAAP,連結,2026-03-20
3070,株式会社ジェリービーンズグループ,608028000,8586000,608028000,205796000,NetAssets,0.3385,S100Y0EP,2026-04-23,120,J-GAAP,連結,2026-01-31
4431,株式会社スマレジ,7526363000,2615089000,7526363000,7676714000,NetAssets,1.02,S100YSPI,2026-07-28,120,J-GAAP,連結,2026-04-30
272A,株式会社グリーンクロスホールディングス,119741000,260911000,119741000,10959435000,NetAssets,91.5262,S100YSCR,2026-07-27,120,J-GAAP,連結,2026-04-30
8282,株式会社ケーズホールディングス,156002000000,9150000000,156002000000,127958000000,NetAssets,0.8202,S100YFQY,2026-06-23,120,J-GAAP,連結,2026-03-31
2910,株式会社ロック・フィールド,18739000000,5510000000,18739000000,28908000000,NetAssets,1.5427,S100YSC6,2026-07-27,120,J-GAAP,連結,2026-04-30
6699,ダイヤモンドエレクトリックホールディングス株式会社,9018000000,16461000000,9018000000,3508000000,NetAssets,0.389,S100YLYF,2026-06-29,120,J-GAAP,連結,2026-03-31
215A,株式会社タイミー,30250547000,18257428000,30250547000,14562954000,NetAssets,0.4814,S100YS8Y,2026-07-27,120,J-GAAP,連結,2026-04-30
5032,ＡＮＹＣＯＬＯＲ株式会社,25622000000,215000000,25622000000,21968000000,NetAssets,0.8574,S100YSEA,2026-07-27,120,J-GAAP,連結,2026-04-30
7095,株式会社Ｍａｃｂｅｅ　Ｐｌａｎｅｔ,6470000000,5922000000,6470000000,7787000000,NetAssets,1.2036,S100YSEQ,2026-07-27,120,J-GAAP,連結,2026-04-30
500A,株式会社ＴＯブックス,5012130000,172591000,5012130000,4261992000,NetAssets,0.8503,S100YSBO,2026-07-27,120,J-GAAP,連結,2026-04-30
7435,株式会社ナ・デックス,13975420000,8789037000,174252000,13622543000,NetAssets,78.1773,S100YSCT,2026-07-27,120,J-GAAP,連結,2026-04-30
2502,アサヒグループホールディングス株式会社,82984000000,247000000000,82984000000,1221053000000,NetAssets,14.7143,S100YVTZ,2026-08-12,130,J-GAAP,連結,
4671,株式会社ファルコホールディングス,8321000000,807000000,8321000000,22375000000,NetAssets,2.689,S100YIIX,2026-06-24,120,J-GAAP,連結,2026-03-31
2438,株式会社アスカネット,2952932000,944783000,2952932000,5453571000,NetAssets,1.8468,S100YRYL,2026-07-24,120,J-GAAP,連結,2026-04-30
